gene	accession
PF00162.14	PF00162.14
PF00276.15	PF00276.15
PF00281.14	PF00281.14
PF00297.17	PF00297.17
PF00347.18	PF00347.18
PF00366.15	PF00366.15
PF00380.14	PF00380.14
PF00410.14	PF00410.14
PF00411.14	PF00411.14
PF00416.17	PF00416.17
PF00466.15	PF00466.15
PF00573.17	PF00573.17
PF00750.14	PF00750.14
PF01025.14	PF01025.14
PF01795.14	PF01795.14
TIGR00001	TIGR00001
TIGR00002	TIGR00002
TIGR00009	TIGR00009
TIGR00012	TIGR00012
TIGR00019	TIGR00019
TIGR00029	TIGR00029
TIGR00043	TIGR00043
TIGR00059	TIGR00059
TIGR00060	TIGR00060
TIGR00061	TIGR00061
TIGR00062	TIGR00062
TIGR00064	TIGR00064
TIGR00082	TIGR00082
TIGR00086	TIGR00086
TIGR00092	TIGR00092
TIGR00115	TIGR00115
TIGR00116	TIGR00116
TIGR00152	TIGR00152
TIGR00158	TIGR00158
TIGR00165	TIGR00165
TIGR00166	TIGR00166
TIGR00168	TIGR00168
TIGR00234	TIGR00234
TIGR00337	TIGR00337
TIGR00344	TIGR00344
TIGR00362	TIGR00362
TIGR00388	TIGR00388
TIGR00389	TIGR00389
TIGR00392	TIGR00392
TIGR00396	TIGR00396
TIGR00408	TIGR00408
TIGR00409	TIGR00409
TIGR00414	TIGR00414
TIGR00418	TIGR00418
TIGR00420	TIGR00420
TIGR00422	TIGR00422
TIGR00435	TIGR00435
TIGR00436	TIGR00436
TIGR00442	TIGR00442
TIGR00459	TIGR00459
TIGR00460	TIGR00460
TIGR00468	TIGR00468
TIGR00471	TIGR00471
TIGR00472	TIGR00472
TIGR00487	TIGR00487
TIGR00496	TIGR00496
TIGR00575	TIGR00575
TIGR00631	TIGR00631
TIGR00663	TIGR00663
TIGR00775	TIGR00775
TIGR00810	TIGR00810
TIGR00855	TIGR00855
TIGR00922	TIGR00922
TIGR00952	TIGR00952
TIGR00959	TIGR00959
TIGR00963	TIGR00963
TIGR00964	TIGR00964
TIGR00967	TIGR00967
TIGR00981	TIGR00981
TIGR01009	TIGR01009
TIGR01011	TIGR01011
TIGR01017	TIGR01017
TIGR01021	TIGR01021
TIGR01024	TIGR01024
TIGR01029	TIGR01029
TIGR01030	TIGR01030
TIGR01031	TIGR01031
TIGR01032	TIGR01032
TIGR01044	TIGR01044
TIGR01049	TIGR01049
TIGR01050	TIGR01050
TIGR01059	TIGR01059
TIGR01063	TIGR01063
TIGR01066	TIGR01066
TIGR01067	TIGR01067
TIGR01071	TIGR01071
TIGR01079	TIGR01079
TIGR01164	TIGR01164
TIGR01169	TIGR01169
TIGR01171	TIGR01171
TIGR01391	TIGR01391
TIGR01393	TIGR01393
TIGR01632	TIGR01632
TIGR01953	TIGR01953
TIGR02012	TIGR02012
TIGR02013	TIGR02013
TIGR02027	TIGR02027
TIGR02191	TIGR02191
TIGR02350	TIGR02350
TIGR02386	TIGR02386
TIGR02387	TIGR02387
TIGR02397	TIGR02397
TIGR02432	TIGR02432
TIGR02729	TIGR02729
TIGR03263	TIGR03263
TIGR03594	TIGR03594
