gene	accession	hmmsource
tRNA-synt_2d	COG0016	http://pfam.xfam.org/family/tRNA-synt_2d
tRNA-synt_1d	COG0060	http://pfam.xfam.org/family/tRNA-synt_1d
Ribosomal_S15	COG0184	http://pfam.xfam.org/family/PF00312
Ribosomal_S7	COG0049	http://pfam.xfam.org/family/Ribosomal_S7
Ribosomal_L4	COG0088	http://pfam.xfam.org/family/PF00573
Ribosomal_S3_C	COG0092	http://pfam.xfam.org/family/Ribosomal_S3_C
Ribosomal_L5_C	COG0094	http://pfam.xfam.org/family/Ribosomal_L5_C
Ribosomal_L16	COG0197	http://pfam.xfam.org/family/PF00252
SecY	COG0201	http://pfam.xfam.org/family/PF00344
IF-2	COG0532	http://pfam.xfam.org/family/IF-2
Ribosom_S12_S23	COG0048	http://pfam.xfam.org/family/PF00164
Ribosomal_S2	COG0052	http://pfam.xfam.org/family/PF00318
Ribosomal_L11	COG0080	http://pfam.xfam.org/family/Ribosomal_L11
Ribosomal_L1	COG0081	http://pfam.xfam.org/family/PF00687
Ribosomal_L3	COG0087	http://pfam.xfam.org/family/PF00297
Ribosomal_L2_C	COG0090	http://pfam.xfam.org/family/Ribosomal_L2_C
Ribosomal_L14	COG0093	http://pfam.xfam.org/family/PF00238
Ribosomal_S8	COG0096	http://pfam.xfam.org/family/PF00410
Ribosomal_L6	COG0097	http://pfam.xfam.org/family/PF00347
Ribosomal_S9	COG0103	http://pfam.xfam.org/family/PF00380
Ribosomal_L18p	COG0256	http://pfam.xfam.org/family/PF00861
Ribosomal_S10	COG0051	http://pfam.xfam.org/family/PF00338
Ribosomal_L23	COG0089	http://pfam.xfam.org/family/PF00276
Ribosomal_L22	COG0091	http://pfam.xfam.org/family/PF00237
Ribosomal_S11	COG0100	http://pfam.xfam.org/family/PF00411
Ribosomal_L13	COG0102	http://pfam.xfam.org/family/PF00572
Ribosomal_S19	COG0185	http://pfam.xfam.org/family/PF00203
Ribosomal_L18e	COG0200	http://pfam.xfam.org/family/PF00828
Ribosomal_L10	COG0244	http://pfam.xfam.org/family/PF00466
Ribosomal_S17	COG0186	http://pfam.xfam.org/family/PF00366
KOW	COG0198	http://pfam.xfam.org/family/PF00467
SRP54_N	COG0541	http://pfam.xfam.org/family/SRP54_N
CTP_synth_N	COG0504	http://pfam.xfam.org/family/CTP_synth_N
TruB_N	COG0130	http://pfam.xfam.org/family/PF01509
