gene	accession	hmmsource
EPrGT00050000000570	EPrGT00050000000570	Busco.ezlab
EPrGT00050000000597	EPrGT00050000000597	Busco.ezlab
EPrGT00050000000633	EPrGT00050000000633	Busco.ezlab
EPrGT00050000000638	EPrGT00050000000638	Busco.ezlab
EPrGT00050000000656	EPrGT00050000000656	Busco.ezlab
EPrGT00050000000764	EPrGT00050000000764	Busco.ezlab
EPrGT00050000000788	EPrGT00050000000788	Busco.ezlab
EPrGT00050000000790	EPrGT00050000000790	Busco.ezlab
EPrGT00050000000821	EPrGT00050000000821	Busco.ezlab
EPrGT00050000000974	EPrGT00050000000974	Busco.ezlab
EPrGT00050000001261	EPrGT00050000001261	Busco.ezlab
EPrGT00050000001346	EPrGT00050000001346	Busco.ezlab
EPrGT00050000001368	EPrGT00050000001368	Busco.ezlab
EPrGT00050000001885	EPrGT00050000001885	Busco.ezlab
EPrGT00050000001927	EPrGT00050000001927	Busco.ezlab
EPrGT00050000002128	EPrGT00050000002128	Busco.ezlab
EPrGT00050000002199	EPrGT00050000002199	Busco.ezlab
EPrGT00050000002214	EPrGT00050000002214	Busco.ezlab
EPrGT00050000002346	EPrGT00050000002346	Busco.ezlab
EPrGT00050000002389	EPrGT00050000002389	Busco.ezlab
EPrGT00050000002690	EPrGT00050000002690	Busco.ezlab
EPrGT00050000003076	EPrGT00050000003076	Busco.ezlab
EPrGT00050000003160	EPrGT00050000003160	Busco.ezlab
EPrGT00050000003199	EPrGT00050000003199	Busco.ezlab
EPrGT00050000003303	EPrGT00050000003303	Busco.ezlab
EPrGT00050000003367	EPrGT00050000003367	Busco.ezlab
EPrGT00050000003603	EPrGT00050000003603	Busco.ezlab
EPrGT00050000003615	EPrGT00050000003615	Busco.ezlab
EPrGT00050000003868	EPrGT00050000003868	Busco.ezlab
EPrGT00050000004000	EPrGT00050000004000	Busco.ezlab
EPrGT00050000004283	EPrGT00050000004283	Busco.ezlab
EPrGT00050000004299	EPrGT00050000004299	Busco.ezlab
EPrGT00050000004774	EPrGT00050000004774	Busco.ezlab
EPrGT00050000004932	EPrGT00050000004932	Busco.ezlab
EPrGT00050000005003	EPrGT00050000005003	Busco.ezlab
EPrGT00050000005020	EPrGT00050000005020	Busco.ezlab
EPrGT00050000005111	EPrGT00050000005111	Busco.ezlab
EPrGT00050000005128	EPrGT00050000005128	Busco.ezlab
EPrGT00050000005182	EPrGT00050000005182	Busco.ezlab
EPrGT00050000005194	EPrGT00050000005194	Busco.ezlab
EPrGT00050000005290	EPrGT00050000005290	Busco.ezlab
EPrGT00050000005370	EPrGT00050000005370	Busco.ezlab
EPrGT00050000005427	EPrGT00050000005427	Busco.ezlab
EPrGT00050000005459	EPrGT00050000005459	Busco.ezlab
EPrGT00050000005482	EPrGT00050000005482	Busco.ezlab
EPrGT00050000005485	EPrGT00050000005485	Busco.ezlab
EPrGT00050000005498	EPrGT00050000005498	Busco.ezlab
EPrGT00050000005502	EPrGT00050000005502	Busco.ezlab
EPrGT00050000005514	EPrGT00050000005514	Busco.ezlab
EPrGT00050000005516	EPrGT00050000005516	Busco.ezlab
EPrGT00050000005533	EPrGT00050000005533	Busco.ezlab
EPrGT00050000005562	EPrGT00050000005562	Busco.ezlab
EPrGT00050000005659	EPrGT00050000005659	Busco.ezlab
EPrGT00050000005687	EPrGT00050000005687	Busco.ezlab
EPrGT00050000005714	EPrGT00050000005714	Busco.ezlab
EPrGT00050000005721	EPrGT00050000005721	Busco.ezlab
EPrGT00050000005732	EPrGT00050000005732	Busco.ezlab
EPrGT00050000005743	EPrGT00050000005743	Busco.ezlab
EPrGT00050000005769	EPrGT00050000005769	Busco.ezlab
EPrGT00050000005798	EPrGT00050000005798	Busco.ezlab
EPrGT00050000005800	EPrGT00050000005800	Busco.ezlab
EPrGT00050000005808	EPrGT00050000005808	Busco.ezlab
EPrGT00050000005840	EPrGT00050000005840	Busco.ezlab
EPrGT00050000005852	EPrGT00050000005852	Busco.ezlab
EPrGT00050000005857	EPrGT00050000005857	Busco.ezlab
EPrGT00050000005939	EPrGT00050000005939	Busco.ezlab
EPrGT00050000005940	EPrGT00050000005940	Busco.ezlab
EPrGT00050000005954	EPrGT00050000005954	Busco.ezlab
EPrGT00050000005966	EPrGT00050000005966	Busco.ezlab
EPrGT00050000005995	EPrGT00050000005995	Busco.ezlab
EPrGT00050000006007	EPrGT00050000006007	Busco.ezlab
EPrGT00050000006026	EPrGT00050000006026	Busco.ezlab
EPrGT00050000006045	EPrGT00050000006045	Busco.ezlab
EPrGT00050000006077	EPrGT00050000006077	Busco.ezlab
EPrGT00050000006107	EPrGT00050000006107	Busco.ezlab
EPrGT00050000006117	EPrGT00050000006117	Busco.ezlab
EPrGT00050000006133	EPrGT00050000006133	Busco.ezlab
EPrGT00050000007812	EPrGT00050000007812	Busco.ezlab
EPrGT00080000010433	EPrGT00080000010433	Busco.ezlab
EPrGT00180000031570	EPrGT00180000031570	Busco.ezlab
EPrGT00300000062292	EPrGT00300000062292	Busco.ezlab
EPrGT00300000062307	EPrGT00300000062307	Busco.ezlab
EPrGT00300000062326	EPrGT00300000062326	Busco.ezlab
