gene	accession	hmmsource
EPrGT00050000000570	EPrGT00050000000570	busco.ezlab.org
EPrGT00050000000597	EPrGT00050000000597	busco.ezlab.org
EPrGT00050000000633	EPrGT00050000000633	busco.ezlab.org
EPrGT00050000000638	EPrGT00050000000638	busco.ezlab.org
EPrGT00050000000656	EPrGT00050000000656	busco.ezlab.org
EPrGT00050000000764	EPrGT00050000000764	busco.ezlab.org
EPrGT00050000000788	EPrGT00050000000788	busco.ezlab.org
EPrGT00050000000790	EPrGT00050000000790	busco.ezlab.org
EPrGT00050000000821	EPrGT00050000000821	busco.ezlab.org
EPrGT00050000000974	EPrGT00050000000974	busco.ezlab.org
EPrGT00050000001261	EPrGT00050000001261	busco.ezlab.org
EPrGT00050000001346	EPrGT00050000001346	busco.ezlab.org
EPrGT00050000001368	EPrGT00050000001368	busco.ezlab.org
EPrGT00050000001885	EPrGT00050000001885	busco.ezlab.org
EPrGT00050000001927	EPrGT00050000001927	busco.ezlab.org
EPrGT00050000002128	EPrGT00050000002128	busco.ezlab.org
EPrGT00050000002199	EPrGT00050000002199	busco.ezlab.org
EPrGT00050000002214	EPrGT00050000002214	busco.ezlab.org
EPrGT00050000002346	EPrGT00050000002346	busco.ezlab.org
EPrGT00050000002389	EPrGT00050000002389	busco.ezlab.org
EPrGT00050000002690	EPrGT00050000002690	busco.ezlab.org
EPrGT00050000003076	EPrGT00050000003076	busco.ezlab.org
EPrGT00050000003160	EPrGT00050000003160	busco.ezlab.org
EPrGT00050000003199	EPrGT00050000003199	busco.ezlab.org
EPrGT00050000003303	EPrGT00050000003303	busco.ezlab.org
EPrGT00050000003367	EPrGT00050000003367	busco.ezlab.org
EPrGT00050000003603	EPrGT00050000003603	busco.ezlab.org
EPrGT00050000003615	EPrGT00050000003615	busco.ezlab.org
EPrGT00050000003868	EPrGT00050000003868	busco.ezlab.org
EPrGT00050000004000	EPrGT00050000004000	busco.ezlab.org
EPrGT00050000004283	EPrGT00050000004283	busco.ezlab.org
EPrGT00050000004299	EPrGT00050000004299	busco.ezlab.org
EPrGT00050000004774	EPrGT00050000004774	busco.ezlab.org
EPrGT00050000004932	EPrGT00050000004932	busco.ezlab.org
EPrGT00050000005003	EPrGT00050000005003	busco.ezlab.org
EPrGT00050000005020	EPrGT00050000005020	busco.ezlab.org
EPrGT00050000005111	EPrGT00050000005111	busco.ezlab.org
EPrGT00050000005128	EPrGT00050000005128	busco.ezlab.org
EPrGT00050000005182	EPrGT00050000005182	busco.ezlab.org
EPrGT00050000005194	EPrGT00050000005194	busco.ezlab.org
EPrGT00050000005290	EPrGT00050000005290	busco.ezlab.org
EPrGT00050000005370	EPrGT00050000005370	busco.ezlab.org
EPrGT00050000005427	EPrGT00050000005427	busco.ezlab.org
EPrGT00050000005459	EPrGT00050000005459	busco.ezlab.org
EPrGT00050000005482	EPrGT00050000005482	busco.ezlab.org
EPrGT00050000005485	EPrGT00050000005485	busco.ezlab.org
EPrGT00050000005498	EPrGT00050000005498	busco.ezlab.org
EPrGT00050000005502	EPrGT00050000005502	busco.ezlab.org
EPrGT00050000005514	EPrGT00050000005514	busco.ezlab.org
EPrGT00050000005516	EPrGT00050000005516	busco.ezlab.org
EPrGT00050000005533	EPrGT00050000005533	busco.ezlab.org
EPrGT00050000005562	EPrGT00050000005562	busco.ezlab.org
EPrGT00050000005659	EPrGT00050000005659	busco.ezlab.org
EPrGT00050000005687	EPrGT00050000005687	busco.ezlab.org
EPrGT00050000005714	EPrGT00050000005714	busco.ezlab.org
EPrGT00050000005721	EPrGT00050000005721	busco.ezlab.org
EPrGT00050000005732	EPrGT00050000005732	busco.ezlab.org
EPrGT00050000005743	EPrGT00050000005743	busco.ezlab.org
EPrGT00050000005769	EPrGT00050000005769	busco.ezlab.org
EPrGT00050000005798	EPrGT00050000005798	busco.ezlab.org
EPrGT00050000005800	EPrGT00050000005800	busco.ezlab.org
EPrGT00050000005808	EPrGT00050000005808	busco.ezlab.org
EPrGT00050000005840	EPrGT00050000005840	busco.ezlab.org
EPrGT00050000005852	EPrGT00050000005852	busco.ezlab.org
EPrGT00050000005857	EPrGT00050000005857	busco.ezlab.org
EPrGT00050000005939	EPrGT00050000005939	busco.ezlab.org
EPrGT00050000005940	EPrGT00050000005940	busco.ezlab.org
EPrGT00050000005954	EPrGT00050000005954	busco.ezlab.org
EPrGT00050000005966	EPrGT00050000005966	busco.ezlab.org
EPrGT00050000005995	EPrGT00050000005995	busco.ezlab.org
EPrGT00050000006007	EPrGT00050000006007	busco.ezlab.org
EPrGT00050000006026	EPrGT00050000006026	busco.ezlab.org
EPrGT00050000006045	EPrGT00050000006045	busco.ezlab.org
EPrGT00050000006077	EPrGT00050000006077	busco.ezlab.org
EPrGT00050000006107	EPrGT00050000006107	busco.ezlab.org
EPrGT00050000006117	EPrGT00050000006117	busco.ezlab.org
EPrGT00050000006133	EPrGT00050000006133	busco.ezlab.org
EPrGT00050000007812	EPrGT00050000007812	busco.ezlab.org
EPrGT00080000010433	EPrGT00080000010433	busco.ezlab.org
EPrGT00180000031570	EPrGT00180000031570	busco.ezlab.org
EPrGT00300000062292	EPrGT00300000062292	busco.ezlab.org
EPrGT00300000062307	EPrGT00300000062307	busco.ezlab.org
EPrGT00300000062326	EPrGT00300000062326	busco.ezlab.org
