gene	accession	hmmsource
Enolase_C	PF00113	Rinke_2013
TIM	PF00121	Rinke_2013
ATP‐synt_C	PF00137	Rinke_2013
PGK	PF00162	Rinke_2013
Ribosomal_S12	PF00164	Rinke_2013
Ribosomal_S7	PF00177	Rinke_2013
Ribosomal_L2	PF00181	Rinke_2013
Ribosomal_S3_C	PF00189	Rinke_2013
Ribosomal_S19	PF00203	Rinke_2013
Ribosomal_L22	PF00237	Rinke_2013
Ribosomal_L14	PF00238	Rinke_2013
Ribosomal_L16	PF00252	Rinke_2013
Ribosomal_S14	PF00253	Rinke_2013
Ribosomal_L23	PF00276	Rinke_2013
Ribosomal_L5	PF00281	Rinke_2013
Ribosomal_L3	PF00297	Rinke_2013
Ribosomal_L11	PF00298	Rinke_2013
Ribosomal_S15	PF00312	Rinke_2013
Ribosomal_S2	PF00318	Rinke_2013
Ribosomal_L30	PF00327	Rinke_2013
Ribosomal_S5	PF00333	Rinke_2013
NDK	PF00334	Rinke_2013
SecY	PF00344	Rinke_2013
Ribosomal_L6	PF00347	Rinke_2013
Ribosomal_S17	PF00366	Rinke_2013
HMG‐CoA_red	PF00368	Rinke_2013
Ribosomal_S9	PF00380	Rinke_2013
Ribosomal_S8	PF00410	Rinke_2013
Ribosomal_S11	PF00411	Rinke_2013
Ribosomal_S13	PF00416	Rinke_2013
Ribosomal_L10	PF00466	Rinke_2013
RNA_pol_Rpb2_6	PF00562	Rinke_2013
Ribosomal_L13	PF00572	Rinke_2013
Ribosomal_L4	PF00573	Rinke_2013
RNA_pol_Rpb1_2	PF00623	Rinke_2013
AdoHcyase_NAD	PF00670	Rinke_2013
Ribosomal_L5_C	PF00673	Rinke_2013
EFG_C	PF00679	Rinke_2013
Ribosomal_L1	PF00687	Rinke_2013
Adenylsucc_synt	PF00709	Rinke_2013
EF1_GNE	PF00736	Rinke_2013
tRNA‐synt_1c	PF00749	Rinke_2013
tRNA‐synt_1d	PF00750	Rinke_2013
XPG_N	PF00752	Rinke_2013
Ribosomal_L15e	PF00827	Rinke_2013
Ribosomal_L29	PF00831	Rinke_2013
Ribosomal_L39	PF00832	Rinke_2013
